STATION,DATE,Max - EXITS                                                               ,
,10/04/2019,3032480,3610
21 ST-QNSBRIDGE,09/28/2019,10975598,
,09/29/2019,10977332,
,09/30/2019,10979247,
,10/01/2019,10981304,
,10/02/2019,10983932,
,10/03/2019,10986298,
,10/04/2019,10988615,13017
215 ST,09/28/2019,169594763,
,09/29/2019,169595013,
,09/30/2019,169595351,
,10/01/2019,169595712,
,10/02/2019,169596110,
,10/03/2019,169596461,
,10/04/2019,169596818,2055
219 ST,09/28/2019,318886355,
,09/29/2019,318886363,
,09/30/2019,318886728,
,10/01/2019,318887170,
,10/02/2019,318887759,
,10/03/2019,318888337,
,10/04/2019,318888944,2589
225 ST,09/28/2019,663986425,
,09/29/2019,663986401,
,09/30/2019,663986389,
,10/01/2019,663985957,
,10/02/2019,663985450,
,10/03/2019,663984826,
,10/04/2019,663984264,-2161
23 ST,09/28/2019,1931738035,
,09/29/2019,1931738547,
,09/30/2019,1931739552,
,10/01/2019,1931740672,
,10/02/2019,1931741806,
,10/03/2019,1931742962,
,10/04/2019,1931744086,6051
231 ST,09/28/2019,717728,
,09/29/2019,717779,
,09/30/2019,717824,
,10/01/2019,717890,
,10/02/2019,717942,
,10/03/2019,718014,
,10/04/2019,718072,344
233 ST,09/28/2019,3463827,
,09/29/2019,3463827,
,09/30/2019,3464544,
,10/01/2019,3465301,
,10/02/2019,3466127,
,10/03/2019,3466966,
,10/04/2019,3467837,4010
238 ST,09/28/2019,400018,
,09/29/2019,400044,
,09/30/2019,400064,
,10/01/2019,400091,
,10/02/2019,400117,
,10/03/2019,400147,
,10/04/2019,400191,173
25 AV,09/28/2019,1662514,
,09/29/2019,1662620,
,09/30/2019,1663198,
,10/01/2019,1663931,
,10/02/2019,1664727,
,10/03/2019,1665518,
,10/04/2019,1666162,3648
25 ST,09/28/2019,8080348,
,09/29/2019,8080988,
,09/30/2019,8081868,
,10/01/2019,8082795,
,10/02/2019,8083808,
,10/03/2019,8084858,
,10/04/2019,8085841,5493
28 ST,09/28/2019,1392631043,
,09/29/2019,1392631043,
,09/30/2019,1392631218,
,10/01/2019,1392631562,
,10/02/2019,1392632011,
,10/03/2019,1392632482,
,10/04/2019,1392632847,1804
3 AV,09/28/2019,9059161,
,09/29/2019,9059161,
,09/30/2019,9060810,
,10/01/2019,9062794,
,10/02/2019,9064796,
,10/03/2019,9066825,
,10/04/2019,9069012,9851
3 AV 138 ST,09/28/2019,1425873977,
,09/29/2019,1425872190,
,09/30/2019,1425870445,
,10/01/2019,1425868423,
,10/02/2019,1425866423,
,10/03/2019,1425864101,
,10/04/2019,1425861903,-12074
3 AV-149 ST,09/28/2019,1057122452,
,09/29/2019,1057123211,
,09/30/2019,1057124769,
,10/01/2019,1057126584,
,10/02/2019,1057128515,
,10/03/2019,1057130436,
,10/04/2019,1057132492,10040
30 AV,09/28/2019,22500579,
,09/29/2019,22500756,
,09/30/2019,22502368,
,10/01/2019,22504397,
,10/02/2019,22506487,
,10/03/2019,22508731,
,10/04/2019,22510950,10371
33 ST,09/28/2019,1514121892,
,09/29/2019,1514121552,
,09/30/2019,1514121356,
,10/01/2019,1514120842,
,10/02/2019,1514120250,
,10/03/2019,1514119557,
,10/04/2019,1514118830,-3062
33 ST-RAWSON ST,09/28/2019,12646400,
,09/29/2019,12646732,
,09/30/2019,12648061,
,10/01/2019,12649481,
,10/02/2019,12651739,
,10/03/2019,12654013,
,10/04/2019,12655850,9450
34 ST-HERALD SQ,09/28/2019,2048739202,
,09/29/2019,2048741303,
,09/30/2019,2048743874,
,10/01/2019,2048746329,
,10/02/2019,2048749046,
,10/03/2019,2048751772,
,10/04/2019,2048754409,15207
34 ST-HUDSON YD,09/28/2019,3835226,
,09/29/2019,3838488,
,09/30/2019,3844116,
,10/01/2019,3849671,
,10/02/2019,3855399,
,10/03/2019,3863553,
,10/04/2019,3872662,37436
34 ST-PENN STA,09/28/2019,1368428821,
,09/29/2019,1368429247,
,09/30/2019,1368430109,
,10/01/2019,1368430984,
,10/02/2019,1368431963,
,10/03/2019,1368433117,
,10/04/2019,1368434122,5301
36 AV,09/28/2019,15157383,
,09/29/2019,15157625,
,09/30/2019,15158164,
,10/01/2019,15158749,
,10/02/2019,15159568,
,10/03/2019,15160326,
,10/04/2019,15161068,3685
36 ST,09/28/2019,7500211,
,09/29/2019,7503280,
,09/30/2019,7506557,
